Entity,Code,Year,Renewables (% equivalent primary energy),Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Other renewables including bioenergy (TWh),Renewables (% electricity),Hydro (% equivalent primary energy),Hydro (% electricity),Wind Capacity,Wind (% equivalent primary energy),Wind (% electricity),Solar Capacity,Solar (% equivalent primary energy),Solar (% electricity),Biofuels Production - TWh - Total,Geothermal Capacity
France,FRA,1998,6.470214,2.653,0.0040885,0.0194972,62.093,0.02,62.09,0.0,2.65,12.766879,6.089973,12.240513,0.021,0.0019122529,0.003942829,0.008,0.00040078338,0.0,2.9976673,
France,FRA,1999,7.388863,2.853,0.0045475,0.03694443,72.514,0.04,72.51,0.0,2.85,14.465783,6.9885454,13.911325,0.025,0.00356052,0.0076741558,0.009,0.00043818555,0.0,3.1512532,
France,FRA,2000,6.7445607,2.986,0.00522325,0.048,66.363,0.05,64.78,0.01,2.99,12.71177,6.3152604,12.140181,0.038,0.004567796,0.009370315,0.007,0.0004970359,0.001874063,3.7758656,0.0
France,FRA,2001,7.405367,3.334,0.0061605,0.131,74.268,0.13,72.62,0.01,3.33,13.996136,6.93655,13.35786,0.066,0.012235258,0.023912443,0.007,0.00057579303,0.0018394187,3.7668989,0.0
France,FRA,2002,6.175621,3.537,0.00710345,0.265,60.397,0.27,58.88,0.01,3.53,11.354416,5.6627903,10.664349,0.138,0.024846254,0.048902415,0.008,0.0006656439,0.0018112005,4.034773,0.0
France,FRA,2003,5.962182,3.717,0.0077673,0.388,58.943,0.39,57.35,0.01,3.72,10.978354,5.435075,10.242535,0.218,0.035777085,0.06965281,0.009,0.0007162672,0.0017859695,4.430088,0.0
France,FRA,2004,5.970315,3.782,0.008447984,0.595,59.555,0.59,58.04,0.01,3.78,11.005131,5.4121256,10.232903,0.358,0.054071266,0.10402157,0.011,0.0007673786,0.0017630776,4.643859,0.0
France,FRA,2005,5.365334,3.872,0.01050076,0.962,51.48,0.96,50.14,0.01,3.8700001,9.647984,4.676072,8.798653,0.6900000000000001,0.08738115,0.16846244,0.013,0.00095381454,0.001754817,7.501699,0.0
France,FRA,2006,5.969732,3.841,0.01190605,2.182,56.303,2.18,54.88,0.01,3.8400002,10.723592,5.123061,9.661972,1.412,0.19854215,0.38380283,0.015,0.0010833412,0.0017605633,7.866113,0.0
France,FRA,2007,6.6387134,4.216,0.018,4.07,57.604,4.07,55.99,0.02,4.22,11.437008,5.30155,9.958912,2.223,0.37458006,0.7239288,0.026,0.001656621,0.0035573894,13.113837,0.0
